productId,modelId,displayName,category,sport,price,salePrice,salePercentage,isFlash,onlineFrom,rating,ratingCount,link,mainImage,secondImage
IE7270,MCH33,Y-3 Runner 4D Halo Shoes,shoes,Lifestyle,450,450,0%,False,2023-04-19T00:00:00.000Z,,-99,https://www.adidas.com/us/y-3-runner-4d-halo-shoes/IE7270.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/75b016f6369a4035b0f6af2d00ece8dd_9366/y-3-runner-4d-halo-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/6d93ec96b4964d6f8925af2d00d3d343_9366/y-3-runner-4d-halo-shoes.jpg"
GY3674,LRM20,Kaptir 2.0 Shoes,shoes,Lifestyle,90,72,20%,False,2022-03-01T00:00:00.000Z,4.5546,669,https://www.adidas.com/us/kaptir-2.0-shoes/GY3674.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e65f57f285f04e268a0aad6a01368b22_9366/kaptir-2.0-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/2c4faf2e94c145f79c36ad6a013658a3_9366/kaptir-2.0-shoes.jpg"
H00521,WF306,EQ21 Run Running Shoes,shoes,Running,80,64,20%,False,2021-06-02T00:00:00.000Z,4.5615,700,https://www.adidas.com/us/eq21-run-running-shoes/H00521.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/09841c64a21a49b08190ad0a01403604_9366/eq21-run-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c8b03926b93c42a3b5d1ad0a01400468_9366/eq21-run-running-shoes.jpg"
GV9712,CBY96,Adilette Comfort Sandals,shoes,Lifestyle,40,28,30%,False,2021-12-01T00:00:00.000Z,4.722,9282,https://www.adidas.com/us/adilette-comfort-sandals/GV9712.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/3a432c70006040ffb1e1ad1d00edc631_9366/adilette-comfort-sandals.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/cb3edb9b6d464d5889e1ad1d00ed96f1_9366/adilette-comfort-sandals.jpg"
GX8418,GV8266,Adistar CS Running Shoes,shoes,Running,160,80,50%,False,2022-06-09T00:00:00.000Z,,-99,https://www.adidas.com/us/adistar-cs-running-shoes/GX8418.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c9e1d6bd7fbf4504a289ae2e00aa66ea_9366/adistar-cs-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b85f00d9b875459c88d9ae2e016f9984_9366/adistar-cs-running-shoes.jpg"
HQ6885,BTL66,Adilette Shower Slides,shoes,Lifestyle,30,21,30%,False,2023-01-06T00:00:00.000Z,4.5356,7216,https://www.adidas.com/us/adilette-shower-slides/HQ6885.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f18627443f52451dbebfaf46015f671e_9366/adilette-shower-slides.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c6e2ee3a34da4385825caf4600f45b80_9366/adilette-shower-slides.jpg"
H04343,LRN09A,Lite Racer Adapt 4.0 Shoes,shoes,Lifestyle,70,56,20%,False,2021-03-01T00:00:00.000Z,4.5761,762,https://www.adidas.com/us/lite-racer-adapt-4.0-shoes/H04343.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4b53505a838f4b5a92e9ac98012dfa3a_9366/lite-racer-adapt-4.0-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7dcf092148c64a839764ac9800e3ed8f_9366/lite-racer-adapt-4.0-shoes.jpg"
GW8754,CBY96,Adilette Comfort Slides,shoes,Lifestyle,35,28,20%,False,2022-03-01T00:00:00.000Z,4.722,9282,https://www.adidas.com/us/adilette-comfort-slides/GW8754.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/a2b185f2b40b4af58086ad7100bc9123_9366/adilette-comfort-slides.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9292b262bf484a809d49ad7100bc5720_9366/adilette-comfort-slides.jpg"
GW6640,MDB47,Vulc Raid3r Shoes,shoes,Lifestyle,65,39,40%,False,2022-08-20T00:00:00.000Z,,-99,https://www.adidas.com/us/vulc-raid3r-shoes/GW6640.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/39c513ae1f3d4b0fb644aeb500587a57_9366/vulc-raid3r-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/922ac9875c494275a032aeb401153fb6_9366/vulc-raid3r-shoes.jpg"
GY5913,LVH52,Ultra 4D Running Shoes,shoes,Gym & Training,220,132,40%,False,2022-09-16T00:00:00.000Z,5,6,https://www.adidas.com/us/ultra-4d-running-shoes/GY5913.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/133e3de7db57438b91f6aed7015a0523_9366/ultra-4d-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/53d403fba082461488b3af1600f42d98_9366/ultra-4d-running-shoes.jpg"
